@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
1.278754,0,1.748188,1.50515,1.826075,1.018284,0.90309,0,0,0.60206,2.650589,2.951823,1.959709,2.017033,2.103804,0.30103,0.30103,0.60206,0,0.60206,0.477121,no
1.322219,0,1.80618,1.447158,1.908485,1.094471,0.90309,0,0,0.60206,2.650589,2.951823,1.959709,2.017033,2.103804,0.477121,0.30103,0.69897,0.30103,0.778151,0.60206,no
1.623249,0.60206,1.851258,1.851258,1.851258,1.851258,0.30103,0,0,0.30103,2.10721,2.10721,1.544068,2.017033,2.103804,0.845098,0.30103,1.079181,0.477121,1.041393,0.954243,no
1.568202,0,1.851258,1.812913,1.892095,1.306425,0.69897,0,0,0.30103,2.332943,2.786751,1.696793,1.968483,2.103804,0.477121,0.30103,1.230449,0.30103,0.90309,0.845098,no
1.39794,0,1.94939,1.716003,2.113943,1.185542,1,0.30103,0.045323,0.60206,2.575834,2.951823,1.894538,1.968483,2.103804,0.477121,0.30103,1.079181,0.477121,0.90309,0.477121,yes
1.414973,0,1.69897,1.69897,1.69897,1.69897,0.30103,0,0,0.30103,2.10721,2.10721,1.544068,2.017033,2.103804,0.60206,0.30103,0.954243,0.60206,0.69897,0.778151,no
1.176091,0,1.724276,1.447158,1.812913,1.067071,0.845098,0,0,0.60206,2.706146,2.951823,2.005738,2.017033,2.103804,0.30103,0.30103,0.477121,0,0.69897,0.30103,no
1.230449,0,1.799341,1.447158,1.919078,1.104146,0.90309,0,0,0.60206,2.652797,2.951823,1.961089,1.968483,2.103804,0.477121,0.30103,0.60206,0.30103,0.845098,0.477121,no
1.778151,0.30103,2.403121,2.269513,2.619093,1.924279,0.778151,0,0,0.477121,2.688064,2.951823,2.023664,1.934498,2.103804,1.041393,0.30103,1.113943,0.477121,0.477121,1.176091,no
1.799341,0.30103,2.436163,1.90309,2.642465,1.359835,1.322219,0.90309,0.130334,0.60206,2.246868,2.951823,1.612254,1.812913,2.103804,1,0.30103,1.079181,0.30103,0.778151,1.146128,no
1.792392,0.30103,2.390935,2.167317,2.600973,1.570309,1.079181,0.30103,0.037426,0.60206,2.483002,2.951823,1.817764,1.934498,2.103804,1.079181,0.30103,1.176091,0.477121,0.60206,1.20412,no
1.770852,0.30103,2.380211,2.252853,2.592177,1.819544,0.845098,0,0,0.477121,2.617,2.951823,1.943643,1.934498,2.103804,1.041393,0.30103,1.176091,0.60206,0.60206,1.176091,no
1.041393,0.30103,1.568202,1.278754,1.623249,0.963788,0.778151,0.30103,0.079181,0.477121,2.477989,2.850646,1.860937,1.477121,2.103804,0.30103,0.30103,0,0,0,0.30103,yes
1,0,1.544068,1.278754,1.60206,0.817565,0.90309,0.30103,0.056905,0.477121,2.675127,2.951823,1.982904,2.149219,2.103804,0,0.30103,0,0,0,0,no
0.954243,0.30103,1.544068,1.278754,1.60206,0.817565,0.90309,0.30103,0.056905,0.477121,2.675127,2.951823,1.982904,2.149219,2.103804,0,0.30103,0,0,0,0,no
1.838849,0.845098,2.053078,1.982271,2.079181,1.487845,0.69897,0.30103,0.09691,0.60206,2.523746,2.850646,1.845098,1.845098,1.50515,1.041393,0.30103,0.90309,0.30103,0.477121,1.322219,no
2.981366,1.724276,3.246745,3.211654,3.25479,2.178257,1.113943,0.60206,0.09691,0.60206,2.436035,2.951823,1.770852,1.763428,1.50515,1.939519,0.30103,1.908485,0.778151,1.079181,2.350248,no
1.431364,0.60206,1.845098,1.544068,1.90309,1.036629,0.954243,0.69897,0.176091,0.477121,2.504471,2.951823,1.847449,1.544068,2.103804,0.477121,0.30103,0.90309,0.778151,0.60206,0.69897,no
1.812913,0.845098,2.100371,1.518514,2.198657,1.059563,1.20412,0.69897,0.103804,0.60206,2.360972,2.951823,1.691965,2.149219,1.176091,1.041393,0.30103,1.380211,0.477121,0.778151,1.20412,no
1.477121,0.60206,1.819544,1.672098,1.826075,1.361728,0.60206,0,0,0.477121,2.86845,2.951823,2.170262,2.149219,2.103804,0.30103,0.30103,1.146128,0,0,0.845098,no
1.716003,0.60206,1.968483,1.60206,2.075547,1.251881,0.90309,0,0,0.60206,2.547418,2.951823,1.893706,1.477121,1.50515,0.90309,0.30103,1.146128,0.69897,0.30103,1.176091,no
